,Name,EMI,Price,Kilometers Driven,Owner,Year of Purchase,Fuel Type,Location,History
106,2018 Hyundai Grand i10,"₹10,862/month","₹4,88,299","16,558 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
107,2014 Maruti Alto 800,"₹5,786/month","₹2,60,099","37,134 km",1st Owner,July 2014,Petrol,NOIDA,Non-Accidental
108,2020 Maruti Baleno,"₹14,568/month","₹6,54,899","10,042 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
109,2020 Tata Tiago,"₹11,445/month","₹5,14,499","9,678 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
110,2019 Maruti Eeco,"₹9,225/month","₹4,14,699","8,454 km",1st Owner,April 2019,Petrol,NOIDA,Non-Accidental
111,2016 Maruti Wagon R Stingray,"₹8,706/month","₹3,91,399","34,527 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
112,2015 Maruti Baleno,"₹12,012/month","₹5,40,000","14,807 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
113,2014 Maruti Celerio,"₹6,351/month","₹2,85,499","43,574 km",1st Owner,December 2014,Petrol,NOIDA,Non-Accidental
114,2015 Maruti Eeco,"₹5,308/month","₹2,38,599","62,897 km",1st Owner,April 2015,Petrol + CNG,NOIDA,Non-Accidental
115,2017 Hyundai Grand i10,"₹10,949/month","₹4,92,199","25,306 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
116,2013 Maruti Swift,"₹7,281/month","₹3,27,299","50,647 km",2nd Owner,June 2013,Diesel,NOIDA,Non-Accidental
117,2019 Maruti New Wagon-R,"₹11,790/month","₹5,30,000","15,826 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
118,2017 Hyundai Grand i10,"₹9,939/month","₹4,46,799","37,323 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
119,2017 Hyundai Grand i10,"₹11,233/month","₹5,05,000","8,055 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
120,2018 Maruti Dzire,"₹11,202/month","₹5,03,599","24,894 km",1st Owner,February 2018,Diesel,NOIDA,Non-Accidental
121,2011 Maruti Alto K10,"₹3,928/month","₹1,76,599","64,499 km",2nd Owner,February 2011,Petrol,NOIDA,Non-Accidental
122,2020 Maruti IGNIS,"₹11,022/month","₹4,95,499","2,206 km",1st Owner,November 2020,Petrol,NOIDA,Non-Accidental
123,2016 Maruti Vitara Brezza,"₹14,265/month","₹6,41,299","57,731 km",1st Owner,March 2016,Diesel,NOIDA,Non-Accidental
124,2010 Hyundai i20,"₹5,005/month","₹2,25,000",-,-,-,-,-,-
125,2017 Renault Kwid,"₹8,015/month","₹3,60,299","30,326 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
126,2015 Maruti Swift,"₹9,899/month","₹4,45,000",-,-,-,-,-,-
127,2017 Ford Ecosport,"₹12,953/month","₹5,82,299","22,113 km",-,-,-,-,-
128,2020 Honda City,"₹28,678/month","₹12,89,199","9,366 km",-,-,-,-,-
129,2009 Maruti Ritz,"₹4,883/month","₹2,19,499","62,936 km",-,-,-,-,-
130,2012 Hyundai i20,"₹5,808/month","₹2,61,099","55,764 km",-,-,-,-,-
131,2020 Maruti Alto,"₹7,608/month","₹3,41,999","11,558 km",-,-,-,-,-
132,2015 Maruti Alto K10,"₹6,166/month","₹2,77,199","42,232 km",-,-,-,-,-
133,2014 Hyundai Eon,"₹5,450/month","₹2,45,000",-,-,-,-,-,-
134,2019 Maruti Eeco,"₹8,738/month","₹3,92,799","22,796 km",-,-,-,-,-
